#------------------------------------------------------------------------------------------
# Dados de experimento avaliando componentes da biomassa de duas espécies de mudas em
# função da mistura de Na e K na solução nutritiva.
# PLA: espécies (E=Enterolobium contortisiliquum, S=Sesbania virgata)
# TRAT: tratamentos que são os níveis de mistura e os tratamentos adicionais
# K: indica a proporção de potássio na solução de Hoagland-Arnon
# Na: indica proporção de sódio na solução de Hoagland-Arnon
# Naplus: indica que recebeu 100% de K e 50% de Na na solução de Hoagland-Arnon
# BJ: indica que recebeu solução completa de Bolle-Jones
# REP: índice da repetição
# AP: altura de plantas (cm)
# NF: número de folhas final
# MFF: matéria fresca da folha (g)
# MFC: matéria fresca do caule (g)
# MFPA: matéria fresca da parte aérea (g)
# MFR: matéria fresca das raízes (g)
# DC: diâmetro do caule (mm)
# VR: volume de raízes (cm3)
# CR: comprimento de raiz (cm)
# MSF: matéria seca da folha (g)
# MSC: matéria seca do caule (g)
# MSPA: matéria seca da parte aérea (g)
# MSR: matéria seca das raízes (g)
# RRPA: relação raiz/parte aérea
# dados de Maycom Incêncio Ferreira, Doutorado em Ciência do Solo - UFLA
#------------------------------------------------------------------------------------------
PLA	TRAT	K	Na	Naplus	BJ	REP	AP	NF	MFF	MFC	MFPA	MFR	DC	VR	CR	MSF	MSC	MSPA	MSR	RRPA
S	Na 2	0.67	0.33	0	0	2	48.0	12	25.145	13.946	39.091	37.334	6.300	70.000	46.000	4.637	2.780	7.417	3.486	0.470
S	Na 2	0.67	0.33	0	0	3	44.0	13	23.563	13.592	37.155	32.668	6.400	65.000	53.000	4.559	2.854	7.413	3.169	0.427
S	Na 2	0.67	0.33	0	0	4	47.5	12	23.796	14.914	38.710	37.282	6.400	65.000	46.000	4.565	2.673	7.238	3.405	0.470
S	Na 3	0.5	0.5	0	0	1	45.5	13	23.916	13.093	37.009	40.509	6.300	65.000	44.000	4.444	2.454	6.898	3.465	0.502
S	Na 3	0.5	0.5	0	0	2	41.5	11	22.479	12.264	34.743	34.636	5.900	70.000	46.500	4.123	2.297	6.420	3.456	0.538
S	Na 3	0.5	0.5	0	0	3	42.0	12	22.662	12.290	34.952	29.519	6.100	80.000	39.000	4.150	2.592	6.742	3.670	0.544
S	Na 3	0.5	0.5	0	0	4	41.0	11	20.858	11.410	32.268	33.880	6.600	64.000	56.500	3.827	2.100	5.927	3.142	0.530
S	Na 4	0.33	0.67	0	0	1	42.5	13	23.437	12.389	35.826	37.072	6.400	72.000	38.500	4.808	2.697	7.505	3.765	0.502
S	Na 4	0.33	0.67	0	0	2	46.0	13	24.229	13.179	37.408	40.548	7.100	80.000	30.000	4.768	3.035	7.803	3.857	0.494
S	Na 4	0.33	0.67	0	0	3	40.0	11	23.671	11.993	35.664	35.385	6.200	67.000	42.000	4.873	2.258	7.131	3.692	0.518
S	Na 4	0.33	0.67	0	0	4	41.5	12	22.411	11.994	34.405	35.283	6.000	70.000	43.500	4.783	2.797	7.580	3.747	0.494
S	Na 6	0	1	0	0	1	7.5	5	0.992	0.428	1.420	1.060	2.100	0.500	58.500	0.192	0.071	0.263	0.045	0.171
S	Na 6	0	1	0	0	2	7.0	5	0.943	0.302	1.245	0.713	1.700	0.500	44.000	0.190	0.047	0.237	0.038	0.160
S	Na 6	0	1	0	0	3	8.0	6	1.010	0.503	1.513	0.792	2.100	0.600	35.000	0.228	0.059	0.287	0.041	0.143
S	Na 6	0	1	0	0	4	5.5	6	1.340	0.402	1.742	1.243	2.200	0.700	46.000	0.254	0.063	0.317	0.056	0.177
S	Na +	0	0	1	0	1	41.0	10	21.794	12.871	34.665	32.250	6.300	65.000	42.000	3.094	2.302	5.396	2.960	0.549
S	Na +	0	0	1	0	2	37.5	11	21.235	11.184	32.419	24.615	7.000	40.000	40.000	3.634	2.253	5.887	2.357	0.400
S	Na +	0	0	1	0	3	46.0	10	24.061	13.943	38.004	30.650	6.400	70.000	32.000	4.578	2.811	7.389	3.713	0.503
S	Na +	0	0	1	0	4	39.5	12	20.087	11.433	31.520	29.172	6.400	42.000	50.000	3.557	2.156	5.713	3.099	0.542
S	BJ	0	0	0	1	1	29.0	8	9.000	5.762	14.762	15.466	4.400	24.000	58.000	1.561	1.109	2.670	1.381	0.517
S	BJ	0	0	0	1	2	28.0	8	8.255	4.742	12.997	14.323	4.700	22.000	43.500	1.338	0.836	2.174	1.413	0.650
S	BJ	0	0	0	1	2	26.5	9	8.689	5.071	13.760	15.829	5.400	24.000	52.500	1.736	1.142	2.878	1.590	0.552
S	BJ	0	0	0	1	3	35.0	10	12.845	8.200	21.045	20.048	5.500	25.000	53.000	1.545	1.029	2.574	1.461	0.568
S	BJ	0	0	0	1	4	26.0	8	8.430	4.495	12.925	14.875	4.900	22.500	44.500	1.635	1.017	2.652	1.512	0.570
S	BJ	0	0	0	1	6	24.5	9	8.269	5.102	13.371	15.556	4.800	23.000	52.000	1.448	1.058	2.506	1.112	0.444

