"FROTA";"ANO";"MES";"LAT";"LON";"EFF";"LAGE";"BRANCA";"BANDOLIM"
"BRA";1998;6;35;45;82630;10000;69900;1700
"BRA";1998;6;35;50;7200;600;5200;100
"BRA";1998;7;0;0;900;0;0;0
"BRA";1998;7;0;30;15020;0;0;0
"BRA";1998;7;0;35;9600;0;0;0
"BRA";1998;7;5;25;4962;0;0;0
"BRA";1998;7;5;30;22259;0;0;0
"BRA";1998;7;10;25;3800;300;0;0
"BRA";1998;7;10;30;1900;0;0;0
"BRA";1998;7;15;25;36200;1900;900;700
"BRA";1998;7;15;30;117600;2400;400;0
"BRA";1998;7;20;30;28900;2900;1900;0
"BRA";1998;7;20;35;1900;0;0;0
"BRA";1998;7;25;35;5700;0;100;0
"BRA";1998;7;25;45;8200;0;0;0
"BRA";1998;7;25;45;11040;100;3200;100
"BRA";1998;7;30;45;6300;0;0;0
"BRA";1998;7;30;45;273670;15100;167700;5500
"BRA";1998;7;30;50;117034;10800;139400;9400
"BRA";1998;7;30;50;1200;0;0;0
"BRA";1998;7;35;40;3840;100;2400;100
"BRA";1998;7;35;45;62140;2300;38000;1800
"BRA";1998;8;0;0;3720;200;0;3100
"BRA";1998;8;0;30;1100;0;0;200
"BRA";1998;8;0;30;2000;0;0;0
"BRA";1998;8;0;35;17940;0;0;0
"BRA";1998;8;5;30;9875;0;0;0
"BRA";1998;8;10;30;4500;100;200;400
"BRA";1998;8;15;30;12400;200;100;0
"BRA";1998;8;15;35;1100;0;0;0
"BRA";1998;8;25;35;22800;0;600;0
"BRA";1998;8;25;40;37960;0;500;0
"BRA";1998;8;25;45;10560;600;13600;1000
"BRA";1998;8;30;40;3720;200;1000;0
"BRA";1998;8;30;45;1200;0;0;0
"BRA";1998;8;30;45;180036;29500;88500;31600
"BRA";1998;8;30;50;6850;0;0;0
"BRA";1998;8;30;50;200333;22200;166600;13200
"BRA";1998;9;0;30;18540;0;0;0
"BRA";1998;9;0;35;4500;0;0;0
"BRA";1998;9;0;45;3600;200;900;100
"BRA";1998;9;5;30;16928;0;0;0
"BRA";1998;9;15;35;18480;400;9600;0
"BRA";1998;9;15;35;2880;0;0;0
"BRA";1998;9;20;40;2400;0;0;0
"BRA";1998;9;25;40;82045;0;1200;100
"BRA";1998;9;25;45;1900;0;0;0
"BRA";1998;9;25;45;49440;1400;24300;600
"BRA";1998;9;30;45;128165;7200;26200;2800
"BRA";1998;9;30;45;950;0;0;0
"BRA";1998;9;30;50;13100;0;0;0
"BRA";1998;9;30;50;19584;300;4400;400
"BRA";1998;9;35;45;6304;300;1500;100
"BRA";1998;9;35;50;7304;300;1600;0
"BRA";1998;10;0;0;3550;200;200;600
"BRA";1998;10;0;20;15600;100;100;2100
"BRA";1998;10;0;25;25359;800;2300;2200
"BRA";1998;10;0;30;25135;0;0;0
"BRA";1998;10;0;30;38913;2500;500;6600
"BRA";1998;10;0;35;17645;0;0;0
"BRA";1998;10;0;35;5600;500;0;100
"BRA";1998;10;5;30;13800;0;0;0
"BRA";1998;10;5;30;156272;8600;101300;8900
"BRA";1998;10;10;30;27260;3300;8200;1800
"BRA";1998;10;10;35;33540;2300;6500;5400
"BRA";1998;10;15;30;3600;100;600;0
"BRA";1998;10;15;35;900;0;0;0
"BRA";1998;10;15;35;84780;1700;62400;100
"BRA";1998;10;20;25;13470;1000;7100;0
"BRA";1998;10;20;30;1000;0;0;0
"BRA";1998;10;20;35;62020;1000;22300;100
"BRA";1998;10;20;45;1000;400;100;0
"BRA";1998;10;25;25;5280;0;0;0
"BRA";1998;10;25;30;7680;0;0;0
"BRA";1998;10;25;30;6820;1800;300;0
"BRA";1998;10;25;35;7536;0;0;0
"BRA";1998;10;25;35;11100;1900;4200;0
"BRA";1998;10;25;40;37010;1900;8700;0
"BRA";1998;10;25;40;4676;0;0;0
"BRA";1998;10;25;45;1000;200;0;0
"BRA";1998;10;25;45;5449;0;0;0
"BRA";1998;10;30;35;1920;200;200;0
"BRA";1998;10;30;40;4999;0;0;0
"BRA";1998;10;30;45;950;0;0;0
"BRA";1998;10;30;50;3800;0;0;0
"BRA";1998;11;0;0;4500;2800;0;0
"BRA";1998;11;0;25;800;0;0;0
"BRA";1998;11;0;25;115935;6100;800;25400
"BRA";1998;11;0;30;134458;10700;2000;25500
"BRA";1998;11;0;30;18190;0;0;0
"BRA";1998;11;0;35;5100;2200;0;0
"BRA";1998;11;0;35;20870;0;0;0
"BRA";1998;11;5;25;9050;0;2300;0
"BRA";1998;11;5;30;294009;8000;157400;13100
"BRA";1998;11;5;30;8250;0;0;0
"BRA";1998;11;10;15;2850;100;400;200
"BRA";1998;11;10;25;18576;0;8500;0
"BRA";1998;11;10;30;270882;4200;109000;2800
"BRA";1998;11;10;35;182603;5200;93400;700
"BRA";1998;11;15;10;2700;200;400;100
"BRA";1998;11;15;15;1800;200;100;100
"BRA";1998;11;15;25;3600;300;200;0
"BRA";1998;11;20;20;900;200;100;0
"BRA";1998;11;20;25;6500;400;500;100
"BRA";1998;11;20;30;900;200;300;0
"BRA";1998;11;25;25;1000;0;0;0
"BRA";1998;11;25;30;7000;0;0;0
"BRA";1998;11;25;40;8000;0;0;0
"BRA";1998;12;0;0;9000;0;0;0
"BRA";1998;12;0;25;116693;4200;200;29700
"BRA";1998;12;0;30;41000;5300;0;19600
"BRA";1998;12;0;30;19380;0;0;0
"BRA";1998;12;0;35;22300;9000;0;0
"BRA";1998;12;0;35;8150;0;0;0
"BRA";1998;12;5;25;37980;600;1000;5900
"BRA";1998;12;5;30;15384;0;5700;0
"BRA";1998;12;10;25;11800;200;3900;700
"BRA";1998;12;10;30;430002;5100;170100;3300
"BRA";1998;12;10;35;103480;1200;31500;800
